C¢digo municipio; Nombre municipio; C¢digo Establecimiento; Nombre Establecimiento; C¢digo Sede; Nombre Sede; Zona; Direcci¢n; TelÇfono
76233;DAGUA;276233000651;IE EL QUEREMAL;276233000294;ROBERTO URDANETA ARBELAEZ ;RURAL;VER MACHADO;
76233;DAGUA;276233000588;IE MIGUEL ANTONIO CARO;276233000499;MANUEL MEJIA;RURAL;CORREG. SANTA MARIA;0
76233;DAGUA;276233000561;IE CAMILO TORRES;276233000677;ESTHER ZORRILLA;RURAL;VDA. LA GARZA;0
76233;DAGUA;276233000511;IE EL PALMAR;276233000120;LAS DELICIAS;RURAL;VDA LAS DELICIAS;2090145
76233;DAGUA;276233000511;IE EL PALMAR;276233001371;CARLOS ALFREDO ZU•IGA;RURAL;VDA. LAS BRISAS;
76233;DAGUA;276233000481;IE GUILLERMO VALENCIA;276233000481;GUILLERMO VALENCIA;RURAL;CORREG EL PI•AL;3122092142
76233;DAGUA;276233000481;IE GUILLERMO VALENCIA;276233000383;JUAN JOSE RONDON;RURAL;VDA. EL ZAPOTE;0
76233;DAGUA;276233000260;IE SANTA TERESITA DEL NI•O JESUS;276233000260;SANTA TERESITA DEL NI•O JESUS;RURAL;CORREG. EL CARMEN;2469734-2472842
76233;DAGUA;276233000260;IE SANTA TERESITA DEL NI•O JESUS;276233000553;NUESTRA SE•ORA DE FATIMA;RURAL;VDA. LA CLORINDA;0
76243;EL µGUILA;276243000497;IE SANTA MARTA;276243000021;DIONISIO CORTES;RURAL;CORREG LA MARIA;2157024
76243;EL µGUILA;276243000497;IE SANTA MARTA;276243000250;BOYACA;RURAL;CORREG EL EMBAL;2157024
76243;EL µGUILA;276243000497;IE SANTA MARTA;276243000110;SIETE DE AGOSTO;RURAL;VER SAN PEDRO;2157024
76243;EL µGUILA;276243000071;IE JUSTINIANO ECHAVARRIA;276243000411;FRANCISCO DE PAULA SANTANDER;RURAL;VDA LA SOLEDAD;
76243;EL µGUILA;276243000071;IE JUSTINIANO ECHAVARRIA;276243000781;DOLORES LOPEZ DE GIRALDO;RURAL;VDA EL DIAMANTE;
76246;EL CAIRO;176246000337;IE LA PRESENTACION;276246000196;CRISTOBAL COLON;RURAL;VDA CAMELLONES;2077237
